GASVISION_FILEVERSION;4;7.0.1;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEforMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEforMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Online;1;11.07.2017;11:48:37;13.07.2017;20:52:36;Polytron;7000;ARYE0794;8.0;;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:12:35;75,66;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:13:35;83,15;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:14:35;84,48;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:15:35;81,23;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:16:35;75,93;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:17:35;69,38;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:18:35;62,96;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:19:35;57,06;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:20:35;51,2;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:21:35;46,35;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:22:35;42,36;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:23:35;38,97;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:24:35;36,4;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:25:35;34,06;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:26:35;28,99;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:27:35;25,23;;;;;;;;;;;;;;;;;;
