GASVISION_FILEVERSION;4;apr.50;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEFORMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEFORMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Avg.;60;03.10.2018;10:53:24;03.10.2018;18:56:51;Polytron;7000;ARBC0143;8.0;0;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:47:24;55,16;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:48:24;60,21;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:49:24;64,23;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:50:24;68,6;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:51:24;71,73;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:52:24;75,03;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:53:24;77,8;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:54:24;79,78;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:55:24;81;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:56:24;80,28;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:57:24;79,15;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:58:24;77,05;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;13:59:24;73,6;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:00:24;69,75;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:01:24;66,08;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:02:24;62,35;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:03:24;58,71;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:04:24;55,2;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:05:24;51,8;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:06:24;53,46;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:07:24;54,5;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:08:24;53,51;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;14:09:24;51,23;;;;;;;;;;;;;;;;;;
